Community,DOI
5,10.1371/journal.pone.0171428
5,10.1126/science.298.5594.824
5,10.1037/10648-000
5,10.1093/bioinformatics/btl301
5,10.1109/TKDE.2014.2349913
5,10.1016/0377-0427(87)90125-7
5,10.1007/978-3-030-93409-5_25
5,10.1098/rsif.2007.0213
5,10.1038/525306a
3,10.1109/TKDE.2018.2807452
3,10.1609/aaai.v32i1.11885
3,10.1145/3178876.3186073
3,10.1109/TPAMI.2018.2839733
3,10.1109/TKDE.2017.2754499
3,10.1145/3132847.3132925
3,10.1109/ICDM.2017.57
3,10.24963/ijcai.2017/544
3,10.24963/ijcai.2017/472
3,10.1145/3097983.3098036
3,10.24963/ijcai.2017/361
3,10.1145/3097983.3098061
3,10.1145/3038912.3052558
3,10.1145/3038912.3052575
3,10.1145/3038912.3052601
3,10.1109/TKDE.2016.2632716
3,10.1109/TKDE.2016.2638425
3,10.1609/aaai.v31i1.10839
3,10.1609/aaai.v31i1.10814
3,10.1609/aaai.v31i1.10878
3,10.1609/aaai.v31i1.10999
3,10.1609/aaai.v31i1.10951
3,10.1609/aaai.v31i1.11067
3,10.1609/aaai.v31i1.10486
3,10.1609/aaai.v31i1.10488
3,10.1109/ICDM.2016.0111
3,10.1109/ICDM.2016.0090
3,10.1109/CVPR.2017.576
3,10.1109/MSP.2017.2693418
3,10.1145/3038912.3052643
3,10.1609/aaai.v31i1.10677
3,10.24963/ijcai.2017/209
3,10.4236/IJCNS.2016.911041
3,10.1145/2964284.2967257
3,10.1145/2968219.2968416
3,10.1145/2939672.2939673
3,10.1109/IJCNN.2016.7727520
3,10.1145/2911451.2914740
3,10.1007/s13735-016-0102-y
3,10.1016/j.neucom.2015.07.128
3,10.1609/aaai.v31i1.10952
3,10.1145/2939672.2939822
3,10.1609/aaai.v30i1.9972
3,10.1609/aaai.v30i1.10089
3,10.1609/aaai.v30i1.10329
3,10.1109/TIP.2015.2507401
3,10.1109/ICCV.2015.486
3,10.1609/aaai.v30i1.10091
3,10.1609/aaai.v30i1.10314
3,10.18653/v1/P16-1219
3,10.18653/v1/D15-1191
3,10.1145/2783258.2783417
3,10.1145/2783258.2783341
3,10.1145/2783258.2783307
3,10.3115/v1/P15-1009
3,10.3115/v1/P15-1067
3,10.1109/TKDE.2014.2382599
3,10.1162/tacl_a_00134
3,10.1609/aaai.v29i1.9491
3,10.1609/aaai.v29i1.9391
3,10.1109/ICDM.2014.119
3,10.5555/2685048.2685096
3,10.3115/v1/W14-4012
3,10.1609/aaai.v28i1.8954
3,10.1609/aaai.v28i1.8870
3,10.1609/aaai.v28i1.8916
3,10.1145/2588555.2610518
3,10.3115/v1/D14-1067
3,10.1109/TPAMI.2014.2316836
3,10.14778/2556549.2556554
3,10.1007/s10994-013-5363-6
3,10.14778/2212351.2212354
3,10.3758/s13428-011-0183-8
3,10.1609/aaai.v25i1.7917
3,10.5555/1953048.2078187
3,10.1609/aaai.v24i1.7696
3,10.1016/J.WEBSEM.2009.07.002
3,10.1109/TKDE.2008.204
3,10.1145/1401890.1401971
3,10.1145/1376616.1376746
3,10.1145/1291233.1291329
3,10.1145/1242572.1242667
3,10.1007/s00211-007-0114-x
3,10.1109/ICDM.2005.132
3,10.1145/1015330.1015345
3,10.1126/SCIENCE.295.5552.7A
3,10.1162/neco.1997.9.8.1735
3,10.1080/03081088508817681
3,10.1007/BF02163027
3,10.1109/TKDE.2016.2606098
3,10.1016/j.patcog.2016.07.043
3,10.1016/S0377-2217(01)00143-6
4,10.1016/j.knosys.2018.03.022
4,10.1109/ICDM.2016.0072
4,10.1145/2939672.2939753
4,10.1145/2939672.2939751
4,10.18653/v1/P16-1095
4,10.1609/aaai.v30i1.10179
4,10.1145/2806416.2806512
4,10.1145/2783258.2783296
4,10.1145/2736277.2741093
4,10.1145/2488388.2488393
4,10.1145/1553374.1553494
4,10.1145/1101149.1101193
4,10.1126/SCIENCE.290.5500.2323
4,10.1109/TPAMI.2007.12
4,10.1109/ICDE.2017.35
4,10.1145/3018661.3018667
4,10.1145/2020408.2020566
4,10.1016/j.patcog.2010.11.015
4,10.1038/NPRE.2011.5627.1
4,10.1007/978-1-4419-8462-3_5
4,10.1016/j.physa.2010.11.027
4,10.1109/JPROC.2010.2044470
4,10.14778/1687627.1687709
4,10.1109/CVPR.2008.4587665
4,10.1145/1376616.1376661
4,10.1145/1376616.1376675
4,10.1038/nature06830
4,10.1145/1367497.1367618
4,10.1093/nar/gkm1001
4,10.1145/1281192.1281280
4,10.1145/1348549.1348560
4,10.1145/1273496.1273503
4,10.1007/978-3-540-72903-7_35
4,10.1109/TKDE.2007.46
4,10.7551/mitpress/7503.003.0199
4,10.1145/1217299.1217301
4,10.1002/9781118548387
4,10.1002/0471602396.CH14
4,10.1145/980972.980992
4,10.1016/j.socnet.2004.11.009
4,10.1103/PhysRevE.69.026113
4,10.1016/S0378-8733(03)00009-1
4,10.1109/ICDM.2001.989507
4,10.1098/rspb.2001.1800
4,10.7551/mitpress/1120.003.0080
4,10.1126/SCIENCE.290.5500.2319
4,10.1002/0471667196.ess1206
4,10.1002/1097-024X(200009)30:11%3C1203::AID-SPE338%3E3.0.CO;2-N
4,10.1109/CVPR.1997.609407
4,10.1109/65.587044
4,10.1007/BF01098364
4,10.1145/103418.103424
4,10.1016/0893-6080(90)90005-6
4,10.1109/WVL.1989.77035
4,10.1016/0925-7721(94)00014-X
4,10.1080/01621459.1987.10478385
4,10.1016/0378-8733(83)90021-7
4,10.2307/3010642
4,10.1016/0005-1098(78)90005-5
4,10.1137/0713009
4,10.1086/226141
4,10.1007/BF02289026
4,10.1080/14786440109462720
4,10.7551/mitpress/11884.003.0005
4,10.4018/978-1-4666-9964-9.CH003
4,10.1007/978-1-4939-7131-2_100470
4,10.1007/978-1-4419-8462-3_9
4,10.1007/978-1-4419-8462-3_11
4,10.1038/nprot.2009.177
4,10.1007/b138283
4,10.1137/1.9781611972757.25
4,10.1109/2945.841119
4,10.5169/SEALS-266450
6,10.1145/2623330.2623732
6,10.1109/TPAMI.2013.50
6,10.5555/1756006.1859891
6,10.1145/1645953.1646094
6,10.1145/1557019.1557109
6,10.1145/956863.956972
6,10.1086/jar.33.4.3629752
6,10.1145/2487575.2487610
6,10.1145/3065386
6,10.1109/TASL.2011.2134090
6,10.1145/2020408.2020512
6,10.1007/s10618-010-0210-x
6,10.1109/ASONAM.2010.19
6,10.5555/1756006.1756025
6,10.1145/1541880.1541882
6,10.1007/s10994-008-5066-6
6,10.1007/978-3-642-14929-0_1
6,10.1145/1401890.1401925
6,10.5555/1390681.1442794
6,10.1109/FOCS.2006.44
6,10.1073/PNAS.0601602103
6,10.1145/1090193.1090201
6,10.1145/1007352.1007372
6,10.1016/0004-3702(91)90084-W
6,10.1109/TPAMI.1984.4767596
6,10.1109/TPAMI.1983.4767390
6,10.1007/978-0-387-31439-6_100248
6,10.1137/1.9781611972825.71
6,10.7551/mitpress/7432.001.0001
6,10.21236/ada452802
7,10.1109/TNN.2008.2005605
7,10.1007/s11192-021-03984-1
7,10.1162/qss_e_00061
7,10.1162/qss_a_00056
7,10.1007/s11192-020-03563-w
7,10.1177/0038038519853146
7,10.1007/s10734-020-00500-x
7,10.1016/J.NEUNET.2020.06.006
7,10.1007/s11192-019-03206-9
7,10.18653/v1/P19-1452
7,10.1109/TPAMI.2021.3081010
7,10.1177/0003122419877135
7,10.1126/science.aao0185
7,10.1080/00031305.2017.1375989
7,10.1073/pnas.1720347115
7,10.1126/science.aal4230
7,10.1098/rsta.2012.0375
7,10.1016/j.joi.2015.10.005
7,10.1080/00091383.2015.1053777
7,10.1177/0011392114548640
7,10.3115/v1/W14-3110
7,10.1140/epjds/s13688-014-0011-3
7,10.1038/497557a
7,10.1017/nws.2013.2
7,10.1057/HEP.2011.9
7,10.1007/s11192-010-0162-3
7,10.1007/s11192-009-2126-z
7,10.3354/ESEP00084
7,10.1214/07-AOAS114
7,10.1111/J.1540-5907.2008.00338.X
7,10.2307/41166348
7,10.1023/B:SCIE.0000034384.35498.7d
7,10.1038/430311a
7,10.1177/000312240406900204
7,10.1177/14761270030013002
7,10.1016/B978-0-12-411519-4.00006-9
7,10.1007/BF02458380
7,10.1007/BF02459289
7,10.1177/030631293023002004
7,10.1162/neco.1989.1.4.541
7,10.2307/2063283
7,10.1002/asi.4630240406
7,10.1126/SCIENCE.178.4060.471
7,10.2514/8.5282
7,10.1126/science.153.3731.34
7,10.1007/978-3-319-73004-2_6
7,10.1142/S1793351X16500045
7,10.1002/asi.21419
7,10.1090/s0002-9947-1984-0756039-5
7,10.2307/3104125
7,10.1063/1.3128814
7,10.7312/pric91844
7,10.1002/ASI.5090140103
2,10.18653/v1/N18-1101
2,10.18653/v1/n19-1423
2,10.18653/v1/P18-1158
2,10.18653/v1/D18-1217
2,10.18653/v1/D18-1179
2,10.18653/v1/D18-1009
2,10.1609/aaai.v33i01.33013159
2,10.1162/tacl_a_00290
2,10.18653/v1/W18-5446
2,10.18653/v1/P18-1078
2,10.18653/v1/S17-2001
2,10.24963/ijcai.2018/570
2,10.18653/v1/P17-1147
2,10.18653/v1/P17-1161
2,10.18653/v1/K16-1006
2,10.18653/v1/D16-1264
2,10.18653/v1/D16-1244
2,10.18653/v1/N16-1162
2,10.18653/v1/D15-1075
2,10.1109/ICCV.2015.11
2,10.3115/v1/D14-1162
2,10.21437/Interspeech.2014-564
2,10.18653/v1/d13-1170
2,10.3233/978-1-60750-049-0-551
2,10.1109/CVPR.2009.5206848
2,10.1145/1390156.1390177
2,10.1145/1390156.1390294
2,10.3115/1610075.1610094
2,10.3115/1119176.1119195
2,10.1177/107769905303000401
